symbol,description,sector,value,profit_loss,percent_change
ARKK,ARK INNOVATION ETF,Technology,73.64216700705514,-13.84748261084754,-18.803741353131166
BKCH,GLOBAL X BLOCKCHAIN ETF,Technology,64.89223630054634,7.82768028904037,12.062583654517185
BLOK,AMPLIFY TRANSFOR DATA SHARIN,Technology,42.48337995941769,4.785254068339411,11.263826166633944
CPER,UNITED STATES COPPER INDEX,Basic Materials,50.7967089861334,-7.038122039645391,-13.85546855322197
ECH,ISHARES MSCI CHILE ETF,Country,69.07198935300916,2.684384900542895,3.886358168755926
ECNS,ISHARES MSCI CHINA SMALL-CAP,Country,156.64960212725748,-30.893562384220534,-19.72144324958037
EIDO,ISHARES MSCI INDONESIA ETF,Country,69.2799713427313,-2.850609718399387,-4.1146231200028724
EMFQ,AMPLIFY EMERGING MARKETS FIN,Technology,53.013163316071584,-1.4498834477028861,-2.7349498822744964
EPHE,ISHARES MSCI PHILIPPINES ETF,Country,45.521779949643076,-4.626290230229465,-10.16280610149063
EWA,ISHARES MSCI AUSTRALIA ETF,Country,67.82684488682312,-4.90753034376031,-7.2353805516814
EWW,ISHARES MSCI MEXICO ETF,Country,93.05539637874402,18.082329637595773,19.431790461671916
EWZ,ISHARES MSCI BRAZIL ETF,Country,149.00878297993336,-11.6076458613919,-7.789907164703891
EZA,ISHARES MSCI SOUTH AFRICA ET,Country,69.21240224817234,-9.293833837331727,-13.427989110979233
FAN,FIRST TRUST GLOBAL WIND ENER,Energy,67.98666903059025,-6.760436020845462,-9.943767090285947
FINX,GLOBAL X FINTECH ETF,Technology,44.7645389101987,-7.117563352273346,-15.900003720694533
FXI,ISHARES CHINA LARGE-CAP ETF,Country,187.19675039433778,-9.657192534695652,-5.158846248320215
HDV,ISHARES CORE HIGH DIVIDEND E,Broad,57.50646405659249,-1.0428831649618489,-1.8135059807112128
ICLN,ISHARES GLOBAL CLEAN ENERGY,Energy,54.867625802273956,-7.598991774516854,-13.849682145717917
IEMG,ISHARES CORE MSCI EMERGING,Broad,33.64817575616984,-2.1816360393810426,-6.483668104892761
INDA,ISHARES MSCI INDIA ETF,Country,78.52321094848689,-2.362071730204995,-3.0081191302207073
IXC,ISHARES GLOBAL ENERGY ETF,Energy,15.14820695195416,-0.5161283347422191,-3.4071909393582525
IXN,ISHARES GLOBAL TECH ETF,Technology,36.28534983522514,5.353443971986633,14.753733934761762
LIT,GLOBAL X LITHIUM & BATTERY T,Basic Materials,51.496382500466865,-9.71993978810728,-18.874995322281443
LVHD,FRANKLIN U.S. LOW VOLATILITY,Broad,59.19659990334036,-2.2787776247219536,-3.849507621118229
NGE,GLOBAL X MSCI NIGERIA ETF,Country,94.60623153348232,-2.39522997496605,-2.531788800950547
QTEC,FIRST TRUST NASDQ 100 TECH I,Technology,83.20294198965095,10.39831351085817,12.4975310514279
SCHD,SCHWAB US DVD EQUITY ETF,Broad,56.032793501591016,-0.34004647878809224,-0.6068704726963806
SDIV,GLOBAL X SUPERDIVIDEND ETF,Broad,9.311948433249178,-0.18582602194954018,-1.9955654101995568
SPHD,INVESCO S&P 500 HIGH DIVIDEN,Broad,58.672845819252956,-1.9890266793858187,-3.390029325513196
SPYD,SPDR PORTFOLIO S&P 500 HIGH,Broad,52.72538075007907,-1.822815626419841,-3.4571881710254075
TAN,INVESCO SOLAR ETF,Energy,56.28345904031043,-9.537890852114996,-16.946170357589292
TUR,ISHARES MSCI TURKEY ETF,Country,71.97365855628408,49.08855352121263,68.20349903822787
URA,GLOBAL X URANIUM ETF,Basic Materials,81.6168521973262,-16.357506266750654,-20.04182448399613
VDC,VANGUARD CONSUMER STAPLE ETF,Consumer Non-Cyc,2.583091824222726,0.08729693564473953,3.3795521640431003
VGT,VANGUARD INFO TECH ETF,Technology,4.472724982179416,1.3911183771171842,31.102256066710737
VNAM,GLOBAL X MSCI VIETNAM ETF,Country,78.46869509960311,-4.854060626555644,-6.185983621104203
VNQ,VANGUARD REAL ESTATE ETF,Real Estate,3.3912464407031737,-0.005083374067108532,-0.14989692303383578
VOO,VANGUARD S&P 500 ETF,Country,242.79874549397675,6.510951509732215,2.6816248562098672
VT,VANGUARD TOT WORLD STK ETF,Broad,35.74342884863633,4.050869629594827,11.333186994312033
VWO,VANGUARD FTSE EMERGING MARKE,Broad,41.73750596656042,-2.9893391674526053,-7.16223717307792
VYM,VANGUARD HIGH DVD YIELD ETF,Broad,66.9138967823646,-0.40194581494400977,-0.6006910885063624
VYMI,VANGUARD INT HIGH DVD YLD IN,Broad,56.71429736044497,-1.5721459582332717,-2.77204520095096
XLB,MATERIALS SELECT SECTOR SPDR,Basic Materials,3.093454046328304,0.27894412979298044,9.017238517703731
XLC,COMM SERV SELECT SECTOR SPDR,Telecomm,16.72405979520306,6.332131817054699,37.86240837808374
XLF,FINANCIAL SELECT SECTOR SPDR,Financials,3.249440538619902,0.04036829441269751,1.242315221125501
XLI,INDUSTRIAL SELECT SECT SPDR,Industrials,3.8633766794039475,0.5826829568702355,15.082219654546691
XLU,UTILITIES SELECT SECTOR SPDR,Utilities,21.664049127286276,-0.8515346689377786,-3.9306348685539803
XLV,HEALTH CARE SELECT SECTOR,Healthcare,3.6432994803864784,0.08698584911910548,2.3875569271038377
XLY,CONSUMER DISCRETIONARY SELT,Consumer Cyclicals,4.030902279414087,0.5941009335522461,14.738658800694168
AAPL,APPLE INC,Technology,43.79230542229302,0.17275488191670435,0.3944868402127131
AB,ALLIANCEBERNSTEIN HOLDING LP,Financials,33.56598559490608,-5.403019601664668,-16.096710720404474
ABBV,ABBVIE INC,Healthcare,44.27110887991536,0.5336097456959906,1.205322747038928
ABEV,AMBEV SA-ADR,Consumer Non-Cyc,20.660563831955834,-1.252068206114972,-6.06018410871435
ABT,ABBOTT LABORATORIES .,Healthcare,37.247961664661,-1.128888953876302,-3.0307402161749306
ADC,AGREE REALTY CORP,Real Estate,38.273272570391676,-1.8238424872522438,-4.765316276254814
ADM,ARCHER-DANIELS-MIDLAND CO,Consumer Non-Cyc,30.304060300589274,-1.9346209496261477,-6.384032141028073
AGM,FEDERAL AGRIC MTG CORP-CL C,Financials,28.88113539095959,19.172097396140014,66.38276901725023
AGNC,AGNC INVESTMENT CORP,Real Estate,62.72848911287831,0.7689508318053001,1.225839873843594
ALB,ALBEMARLE CORP,Basic Materials,46.419885372659515,-3.3495429519105424,-7.2157501575464105
ALLY,ALLY FINANCIAL INC,Financials,29.626867605444556,0.5182426219252894,1.7492319094511748
AMAT,APPLIED MATERIALS INC,Technology,88.09677902032715,16.020852833474457,18.18551485268021
AMCR,AMCOR PLC,Basic Materials,13.257461590843876,-2.823674580640064,-21.29875739251777
AMGN,AMGEN INC,Healthcare,51.77583730769795,3.146075846277259,6.076339871783214
AMZN,AMAZON.COM INC,Consumer Cyclicals,34.368050623822796,9.211592745973066,26.802779263796516
APA,APA CORP,Energy,38.832712133138656,10.679599048527713,27.501553360250796
ARES,ARES MANAGEMENT CORP - A,Financials,22.627773159875723,4.213763343946743,18.622085850757603
ARLP,ALLIANCE RESOURCE PARTNERS,Energy,66.9152870363066,-7.616138698631117,-11.381761979887775
ASR,GRUPO AEROPORTUARIO SUR-ADR,Industrials,39.17109994261971,-1.317651026972645,-3.3638346354910196
AVB,AVALONBAY COMMUNITIES INC,Real Estate,23.591219141676774,1.2544082375024848,5.317267539117633
BABA,ALIBABA GROUP HOLDING-SP ADR,Technology,122.08542796689105,6.506179222190741,5.329202125543749
BAC,BANK OF AMERICA CORP,Financials,20.79124770250316,-0.18520660187637503,-0.8907911854375008
